# wave function for qubits with ids (least to most significant): 0;1;2;3;4;5;6
0:	-4.41613512183387E-17	-3.3823126613372E-17
1:	-2.53703308361608E-17	1.38777878078145E-16
2:	3.12894316143309E-18	-1.81832305267338E-17
3:	-6.13266309675879E-18	6.64407112569663E-18
4:	3.48406225878365E-19	-1.13923972481917E-17
5:	6.16102781450586E-17	5.84710571244468E-17
6:	-2.86972290416589E-18	1.45519760148367E-17
7:	-4.4609309474234E-18	3.58581980805495E-17
8:	1.41002754134781E-17	-2.93767646812873E-18
9:	-1.31838984174237E-16	-3.60536997905177E-17
10:	7.69114084802486E-18	-1.39669365600909E-17
11:	-4.43597673443711E-17	-3.25835904440854E-17
12:	2.61129563687533E-18	8.40114347020094E-18
13:	6.38167663685298E-17	4.80160583454567E-17
14:	3.76801655068991E-18	1.05879163116257E-17
15:	4.07861445551573E-18	-3.21666817979854E-17
16:	2.65371890971169E-19	1.51235070721758E-17
17:	-4.16333634234434E-17	7.48726865839602E-17
18:	-1.43586543387331E-17	8.99229305128121E-18
19:	-1.18673615866737E-17	-8.85743807304819E-18
20:	-5.65200135761926E-18	-9.26924977954236E-18
21:	1.10576969761458E-16	9.33165217950352E-17
22:	-1.08124585418431E-17	-1.10510211144277E-18
23:	-2.27739945753956E-17	-1.65830073961816E-18
24:	-9.26009050396519E-18	1.33895723496944E-17
25:	-9.71445146547012E-17	7.3641623777475E-17
26:	7.36432199243885E-18	-7.61203650514241E-19
27:	-3.08355791135366E-17	1.95395137540216E-17
28:	-3.7006617473595E-18	1.05999843966833E-17
29:	8.58539688515917E-17	3.41124200299317E-16
30:	-1.6065686252645E-17	5.43376808226768E-17
31:	-2.08383157464625E-17	-3.72351281400878E-17
32:	-1.03884535454152E-17	4.77630868661622E-17
33:	0.707106781186552	-6.10549371947762E-17
34:	3.42728525794919E-17	-5.19577315815052E-17
35:	1.53128761292729E-17	1.22185499118356E-17
36:	2.11816435180295E-18	-2.17820690731029E-17
37:	4.05843241456153E-17	-3.24304533914003E-16
38:	9.22601241940588E-18	-6.78251712086864E-18
39:	-3.40985950359306E-17	2.27778857188906E-17
40:	8.89059109683853E-18	-1.63515082922403E-17
41:	-8.32667268468867E-17	4.25268473840271E-18
42:	-8.16934852190892E-19	-5.20440268971404E-18
43:	-3.95842171249302E-18	-9.50647601892594E-18
44:	-1.27109374258905E-17	1.33688703915572E-17
45:	5.59339285580588E-17	-1.08720458545059E-16
46:	-6.89123160283755E-18	-5.70582714373734E-18
47:	-2.15045528935585E-17	2.87048531618745E-17
48:	8.26106562970735E-18	3.36563568652306E-18
49:	-4.16333634234434E-17	-2.2271828070741E-17
50:	-3.59388546173133E-18	3.84809636289596E-19
51:	6.89885770162704E-19	2.18994528401313E-17
52:	-1.52247582894305E-17	8.17292799206585E-18
53:	4.51343052366451E-17	-8.64928415824009E-17
54:	-2.27718078745662E-18	-4.59170004408738E-18
55:	-4.069869747368E-17	3.80910368830997E-17
56:	6.95852868152721E-19	-2.76015156358657E-18
57:	-1.59594559789866E-16	-1.35923027098158E-18
58:	1.77516697067876E-17	-4.67357008257097E-18
59:	-1.93184332529673E-17	-3.79271688572973E-17
60:	8.5040340763234E-18	-1.16953113869326E-17
61:	3.20317423312192E-17	-4.95514647930127E-17
62:	-1.6099823913129E-18	1.20644906394337E-17
63:	-1.36355825847635E-17	1.25525459131855E-17
64:	-7.38328706337112E-18	1.92760254580895E-17
65:	-1.46234153649102E-17	2.56303434003019E-18
66:	-5.23864394254962E-18	1.82877603090165E-17
67:	1.95778047084436E-17	5.52910141717601E-17
68:	1.53087741376484E-17	-1.07570598838806E-17
69:	1.22366337747961E-17	3.30608406033567E-18
70:	-1.32268803245852E-18	2.01695987128008E-17
71:	-4.85722573273506E-17	-7.63278329429795E-17
72:	7.53049481895959E-19	3.76841966332566E-18
73:	-2.0007643136111E-19	-3.01914820116521E-19
74:	1.55567653843956E-17	2.95101969153642E-18
75:	7.34166644547201E-18	5.59450518465518E-18
76:	1.83781065425033E-18	1.48183710334251E-17
77:	-8.77083653988757E-18	5.18846326592302E-18
78:	2.30049646764792E-17	1.27348711722923E-17
79:	-2.60208521396521E-16	1.4137996329211E-16
80:	-4.30432106236731E-18	1.49955702641973E-17
81:	-1.12448818434419E-17	1.06376495467988E-17
82:	-2.50758468494677E-18	1.89540440659344E-17
83:	-8.06160540592521E-18	7.81422440668578E-17
84:	-5.48575406434651E-18	7.31088233311877E-18
85:	4.30177483801381E-18	-2.11664894003671E-17
86:	3.07647022191699E-18	5.22462608265363E-18
87:	-1.42247325030098E-16	6.59194920871187E-17
88:	-5.49387038319113E-18	6.10399523233476E-18
89:	-1.86019020782795E-17	-1.57829172170409E-18
90:	1.0171684316263E-17	4.24971873470807E-17
91:	2.02548304598212E-17	1.5387765869004E-16
92:	6.09705619000089E-18	2.38574061701081E-17
93:	3.70356017141477E-18	-1.78340524746391E-17
94:	2.41292763202631E-17	4.71185998044181E-17
95:	0.707106781186552	5.89805981832114E-17
96:	1.39754957345933E-17	-7.17969570306929E-17
97:	4.79349560357715E-17	1.23761122068038E-17
98:	-2.90391026439183E-18	-8.00320509844144E-17
99:	1.10298421491168E-16	-1.6851541928356E-16
100:	3.67893489172409E-18	-2.57490199921329E-17
101:	-1.88492561081545E-17	-7.7360447925614E-19
102:	-1.0855018916912E-17	5.06801270175192E-18
103:	-1.31838984174237E-16	-6.24500451351651E-17
104:	5.76976066449119E-19	-1.98391064617617E-18
105:	1.91769631003213E-18	-1.38379053747728E-17
